"FED_NUM,N,5,0","ED_NAMEE,C,100","ED_NAMEF,C,100","REP_ORDER,C,4","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
47003,Desnethé—Missinippi—Churchill River,Desnethé—Missinippi—Rivière Churchill,2023,311621194167,2635603.92544
47004,Moose Jaw—Lake Centre—Lanigan,Moose Jaw—Lake Centre—Lanigan,2023,40909635513.4,995721.476417
47005,Prince Albert,Prince Albert,2023,27771832834.5,1019958.58255
47006,Regina—Lewvan,Regina—Lewvan,2023,83836322.1724,57341.4334443
47007,Regina—Qu'Appelle,Regina—Qu'Appelle,2023,12672253779.3,577949.547665
47008,Regina—Wascana,Regina—Wascana,2023,53358316.0832,36618.12977
47009,Saskatoon South,Saskatoon-Sud,2023,53125248.2597,44506.3666747
47010,Saskatoon—University,Saskatoon—University,2023,70688611.8934,42462.9671557
47011,Saskatoon West,Saskatoon-Ouest,2023,108223573.22,80068.6437294
47012,Souris—Moose Mountain,Souris—Moose Mountain,2023,48634101303,1276468.51866
47013,Swift Current—Grasslands—Kindersley,Swift Current—Grasslands—Kindersley,2023,82479869343.6,1320966.82002
47014,Yorkton—Melville,Yorkton—Melville,2023,47161785679.5,1543346.45118
48001,Airdrie—Cochrane,Airdrie—Cochrane,2023,578967394.335,150601.997459
48002,Battle River—Crowfoot,Battle River—Crowfoot,2023,54542697702,1327179.44452
48003,Bow River,Bow River,2023,21493819590,843724.846217
48004,Calgary Centre,Calgary-Centre,2023,44591375.0145,32781.7826387
48005,Calgary Confederation,Calgary Confederation,2023,53038498.7496,44732.4594375
48006,Calgary Crowfoot,Calgary Crowfoot,2023,72507952.6326,56346.7144428
48007,Calgary East,Calgary-Est,2023,110902574.645,57777.0916762
48008,Calgary Heritage,Calgary Heritage,2023,73426106.6256,50498.4668121
48009,Calgary McKnight,Calgary McKnight,2023,74331853.6629,36268.8003164
48010,Calgary Midnapore,Calgary Midnapore,2023,83068472.0652,54066.6141432
48011,Calgary Nose Hill,Calgary Nose Hill,2023,61164513.887,44995.812063
48012,Calgary Shepard,Calgary Shepard,2023,112010190.434,52575.5950537
48013,Calgary Signal Hill,Calgary Signal Hill,2023,63574986.0667,49435.8397925
48014,Calgary Skyview,Calgary Skyview,2023,88216227.9715,55772.1673847
48015,Edmonton Centre,Edmonton-Centre,2023,45546303.9404,33597.3543688
48016,Edmonton Gateway,Edmonton Gateway,2023,63157060.1801,46762.5014748
48017,Edmonton Griesbach,Edmonton Griesbach,2023,45161537.6822,39440.7122394
48018,Edmonton Manning,Edmonton Manning,2023,151839420.839,61739.9243132
48019,Edmonton Northwest,Edmonton-Nord-Ouest,2023,102751601.605,57461.5451348
48020,Edmonton Riverbend,Edmonton Riverbend,2023,122713512.405,75544.4207468
48021,Edmonton Southeast,Edmonton-Sud-Est,2023,69922701.7181,38723.8593203
48022,Edmonton Strathcona,Edmonton Strathcona,2023,83822630.0908,53707.3287863
48023,Edmonton West,Edmonton-Ouest,2023,75241978.0893,50942.2800635
48024,Foothills,Foothills,2023,19368978981,964742.702551
48025,Fort McMurray—Cold Lake,Fort McMurray—Cold Lake,2023,147514487260,2316494.23503
48026,Grande Prairie,Grande Prairie,2023,56997409433.5,1479516.05007
48027,Lakeland,Lakeland,2023,31773735461.9,1196996.68796
48028,Leduc—Wetaskiwin,Leduc—Wetaskiwin,2023,6182037752.96,540944.326036
48029,Lethbridge,Lethbridge,2023,3028291412.25,299294.477101
48030,Medicine Hat—Cardston—Warner,Medicine Hat—Cardston—Warner,2023,28589065879,1091145.73125
48031,Parkland,Parkland,2023,10160137855.2,801222.527643
48032,Peace River—Westlock,Peace River—Westlock,2023,158122412818,3019425.71144
48033,Ponoka—Didsbury,Ponoka—Didsbury,2023,9688449918.4,691472.916459
48034,Red Deer,Red Deer,2023,2089921391.54,256999.812625
48035,Sherwood Park—Fort Saskatchewan,Sherwood Park—Fort Saskatchewan,2023,1271836338.29,196562.324817
48036,St. Albert—Sturgeon River,St. Albert—Sturgeon River,2023,4476915231.72,485027.761139
48037,Yellowhead,Yellowhead,2023,82452565778.6,2309514.67814
59001,Abbotsford—South Langley,Abbotsford—Langley-Sud,2023,233732435.383,86624.7888123
59002,Burnaby Central,Burnaby Central,2023,38164515.7605,35575.5962126
59003,Burnaby North—Seymour,Burnaby-Nord—Seymour,2023,155666955.432,68147.1342681
59004,Cariboo—Prince George,Cariboo—Prince George,2023,90045729788.6,2001786.17706
59005,Chilliwack—Hope,Chilliwack—Hope,2023,6954965721.41,670479.356506
59006,Cloverdale—Langley City,Cloverdale—Langley City,2023,47588679.6476,42446.7623688
59007,Columbia—Kootenay—Southern Rockies,Columbia—Kootenay—Southern Rockies,2023,41086322465.6,1367311.81168
59008,Coquitlam—Port Coquitlam,Coquitlam—Port Coquitlam,2023,636606060.512,132814.667996
59009,Courtenay—Alberni,Courtenay—Alberni,2023,12083649598.8,774249.480915
59010,Cowichan—Malahat—Langford,Cowichan—Malahat—Langford,2023,5324796923.59,498538.837026
59011,Delta,Delta,2023,412117256.834,102106.650932
