"FED_NUM,N,5,0","ED_NAMEE,C,100","ED_NAMEF,C,100","REP_ORDER,C,4","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
35015,Brantford—Brant South—Six Nations,Brantford—Brant-Sud—Six Nations,2023,956839390.523,156166.367759
35016,Bruce—Grey—Owen Sound,Bruce—Grey—Owen Sound,2023,10250809372.2,522194.909771
35017,Burlington,Burlington,2023,85192583.6736,52936.2378759
35018,Burlington North—Milton West,Burlington-Nord—Milton-Ouest,2023,397304472.277,104078.024995
35019,Cambridge,Cambridge,2023,273948799.473,75877.2007875
35020,Carleton,Carleton,2023,1988636871.1,320496.040038
35021,Chatham-Kent—Leamington,Chatham-Kent—Leamington,2023,4158021654.81,438169.728232
35022,Davenport,Davenport,2023,15349833.029,18435.9264336
35023,Don Valley North,Don Valley-Nord,2023,27901330.6017,26649.5692907
35024,Don Valley West,Don Valley-Ouest,2023,33728539.5127,31567.597988
35025,Dufferin—Caledon,Dufferin—Caledon,2023,2161482751.58,241036.167338
35026,Eglinton—Lawrence,Eglinton—Lawrence,2023,23756973.4354,21299.1490846
35027,Elgin—St. Thomas—London South,Elgin—St. Thomas—London-Sud,2023,3343999193.74,354435.543351
35028,Essex,Essex,2023,2425899447.08,263207.088175
35029,Etobicoke Centre,Etobicoke-Centre,2023,39871719.6311,33775.8886043
35030,Etobicoke—Lakeshore,Etobicoke—Lakeshore,2023,49462382.3888,32566.6363715
35031,Etobicoke North,Etobicoke-Nord,2023,50909540.0977,37834.1528612
35032,Flamborough—Glanbrook—Brant North,Flamborough—Glanbrook—Brant-Nord,2023,1166490062.12,251177.091268
35033,Guelph,Guelph,2023,68335435.7638,42484.197422
35034,Haldimand—Norfolk,Haldimand—Norfolk,2023,4562549595.78,362768.017601
35035,Haliburton—Kawartha Lakes,Haliburton—Kawartha Lakes,2023,10379983144.4,550488.049615
35036,Hamilton Centre,Hamilton-Centre,2023,66014202.4703,50208.8599808
35037,Hamilton East—Stoney Creek,Hamilton-Est—Stoney Creek,2023,79687974.6001,62335.872878
35038,Hamilton Mountain,Hamilton Mountain,2023,39960997.7159,26996.7158263
35039,Hamilton West—Ancaster—Dundas,Hamilton-Ouest—Ancaster—Dundas,2023,108313652.991,52503.6507761
35040,Hastings—Lennox and Addington—Tyendinaga,Hastings—Lennox and Addington—Tyendinaga,2023,9664663501.36,564612.913114
35041,Humber River—Black Creek,Humber River—Black Creek,2023,32245128.2067,32419.5881017
35042,Huron—Bruce,Huron—Bruce,2023,6267628484.21,419301.676125
35043,Kanata,Kanata,2023,232544940.346,73504.6918634
35044,Kapuskasing—Timmins—Mushkegowuk,Kapuskasing—Timmins—Mushkegowuk,2023,276430567988,3718742.55481
35045,Kenora—Kiiwetinoong,Kenora—Kiiwetinoong,2023,289400348299,2942954.82106
35046,Kingston and the Islands,Kingston et les Îles,2023,981366187.903,163560.919156
35047,King—Vaughan,King—Vaughan,2023,485251044.351,120435.527649
35048,Kitchener Centre,Kitchener-Centre,2023,51486628.283,42742.7352461
35049,Kitchener—Conestoga,Kitchener—Conestoga,2023,950635625.138,196973.774488
35050,Kitchener South—Hespeler,Kitchener-Sud—Hespeler,2023,111414651.61,54624.3358812
35051,Lanark—Frontenac,Lanark—Frontenac,2023,7024640696.3,461915.074618
35052,Leeds—Grenville—Thousand Islands—Rideau Lakes,Leeds—Grenville—Thousand Islands—Rideau Lakes,2023,3897880741.49,325424.605951
35053,London Centre,London-Centre,2023,52778165.4699,35567.7887195
35054,London—Fanshawe,London—Fanshawe,2023,115217437.729,59169.0396483
35055,London West,London-Ouest,2023,66680660.1903,41736.4420119
35056,Markham—Stouffville,Markham—Stouffville,2023,82518617.3041,42163.3326979
35057,Markham—Thornhill,Markham—Thornhill,2023,61572982.9695,47511.6366552
35058,Markham—Unionville,Markham—Unionville,2023,86314865.6121,39441.5348801
35059,Middlesex—London,Middlesex—London,2023,3108923975.35,395067.070091
35060,Milton East—Halton Hills South,Milton-Est—Halton Hills-Sud,2023,256524790.34,79163.5645594
35061,Mississauga Centre,Mississauga-Centre,2023,24623938.9715,23762.6788094
35062,Mississauga East—Cooksville,Mississauga-Est—Cooksville,2023,32186033.9044,27939.6145752
35063,Mississauga—Erin Mills,Mississauga—Erin Mills,2023,33829214.1787,26123.4479796
35064,Mississauga—Lakeshore,Mississauga—Lakeshore,2023,92759652.2649,42549.6862546
35065,Mississauga—Malton,Mississauga—Malton,2023,105493499.186,51117.1337862
