riding_id,riding_name,inc_fname,inc_lname,bq_can,ppc_can,ndp_can,cpc_can,lib_can,gp_can
88,Pierrefonds—Dollard,Sameer,Zuberi,Katrina Archambault,Gordon Nash,Kakou Richard Kouassi,Tanya Toledano,Sameer Zuberi,
321,Pitt Meadows—Maple Ridge,Marc,Dalton,,Chris Lehner,Daniel Heydenrych,Marc Dalton,Angie Rowell,
293,Ponoka—Didsbury,,,,Larry Gratton,Logan Hooley,Blaine Calkins,,
89,Pontiac—Kitigan Zibi,Sophie,Chatel,Suzanne Proulx,Todd Hoffman,Gilbert W. Whiteduck,Brian Nolan,Sophie Chatel,
322,Port Moody—Coquitlam,Bonita,Zarrillo,,,Bonita Zarrillo,Paul Lambert,Zoe Royer,
237,Portage—Lisgar,Branden,Leslie,,Kevin Larson,Lisa Tessier,Branden Leslie,Robert Kreis,
90,Portneuf—Jacques-Cartier,Joël,Godin,Christian Hébert,Simon Frenette,,Joel Godin,Antonin Leroux,
198,Prescott—Russell—Cumberland,,,,Deborah Perrier,Ryder Finlay,Julie Seguin,Giovanna Mingarelli,
251,Prince Albert,Randy,Hoback,,,Virginia Kutzan,Randy Hoback,Christopher Hadubiak,
323,Prince George—Peace River—Northern Rockies,Bob,Zimmer,,,Cory Longley,Bob Zimmer,Peter Njenga,
238,Provencher,Ted,Falk,,Noel Gautron,Brandy Schmidt,Ted Falk,Trevor Kirczenow,
91,Québec Centre,,,Simon Bérubé,Daniel Brisson,Tommy Bureau,Chanie Thériault,Jean-Yves Duclos,
294,Red Deer,,,,Kyla Courte,Elias Assefa,Burton Bailey,Ayaz Bangash,
252,Regina—Lewvan,Warren,Steinley,,Godwin Ezizor,Ray Aldinger,Warren Steinley,Mac Hird,
253,Regina—Qu'Appelle,Andrew,Scheer,,Dionne Fehler,Chris Simmie,Andrew Scheer,Rahima Mian,
254,Regina—Wascana,Michael,Kram,,Peter Bruce,Kaitlyn Stadnyk,Michael Kram,Jeffrey Walters,
92,Repentigny,Monique,Pauzé,Patrick Bonin,Benoit Lanoue,Nathalie Gagnon,Charles Champagne,Pierre Richard Thomas,
324,Richmond Centre—Marpole,Wilson,Miao,,,Martin Li,Chak Au,Wilson Miao,
325,Richmond East—Steveston,,,,,Keefer Pelech,Zach Segal,Parm Bains,
199,Richmond Hill South,,,,,Ebrahim Astaraki,Vincent Ho,Majid Jowhari,
93,Richmond—Arthabaska,Alain,Rayes,Daniel Lebel,Philippe D'Arcangeli,Nataël Bureau,Eric Lefebvre,Alain Saint-Pierre,
239,Riding Mountain,,,,Jim Oliver,Andrew Maxwell,Dan Mazier,Terry Hayward,
94,Rimouski—La Matapédia,Maxime,Blanchette-Joncas,Maxime Blanchette-Joncas,Taraneh Javanbakht,Salomé Salvain,Nancy Joannette,Alexander Reford,
95,Rivière-des-Mille-Îles,Luc,Desilets,Luc Desilets,,,Elia Lopez,Linda Lapointe,
96,Rivière-du-Nord,Rhéal Éloi,Fortin,Rhéal Éloi Fortin,,,Patricia Morrisette,Mary-Helen Walton,
97,Rosemont—La Petite-Patrie,Alexandre,Boulerice,Olivier Gignac,,Alexandre Boulerice,Laetitia Tchatat,Jean-Sébastien Vallée,
326,Saanich—Gulf Islands,Elizabeth,May,,,Colin Plant,Cathie Ounsted,David Beckham,Elizabeth May
20,Sackville—Bedford—Preston,Darrell,Samson,,,Isaac Wilson,Dave Carroll,Braedon Clark,
30,Saint John—Kennebecasis,,,,,,Melissa Young,Wayne Long,
31,Saint John—St. Croix,,,,,Andrew Hill,John Williamson,Karen Ludwig,
98,Saint-Hyacinthe—Bagot—Acton,Simon-Pierre,Savard-Tremblay,Simon-Pierre Savard-Tremblay,Sylvain Pariseau,Raymonde Plamondon,Gaëtan Deschênes,Mélanie Bedard,
99,Saint-Jean,Christine,Normandin,Christine Normandin,Tchad Deschenes,Danielle Dubuc,Marie Louis-Seize,Patrick Agbokou,
100,Saint-Laurent,Emmanuella,Lambropoulos,Marielle Gendron,Manon Chevalier,Ryan Byrne,Richard Serour,Emmanuella Lambropoulos,
101,Saint-Léonard—Saint-Michel,Patricia,Lattanzio,Laurie Lelacheur,Caroline Mailloux,Marwan El Attar,Panagiota Koroneos,Patricia Lattanzio,
102,Saint-Maurice—Champlain,François-Philippe,Champagne,Thierry Bilodeau,David Rioux,,Pierre-Augustin Allard,François-Philippe Champagne,
200,Sarnia—Lambton—Bkejwanong,,,,Brian Everaert,Lo-Anne Chan,Marilyn Gladu,George Vandenberg,
255,Saskatoon South,,,,,Jacob Gadzella,Kevin Waugh,Rokhan Sarwar,
257,Saskatoon West,Brad,Redekopp,,,Melissa McGillivray,Brad Redekopp,Chad Eggerman,Naomi Hunter
256,Saskatoon—University,Corey,Tochor,,Jaxson Boot,Rachel Loewen Walker,Corey Tochor,Greg Poelzer,
201,Sault Ste. Marie—Algoma,,,,,Laura Mayer,Hugh Stevenson,Terry Sheehan,
203,Scarborough Centre—Don Valley East,,,,Peter Koubakis,Alyson Koa,Belent Mathew,Salma Zahid,
205,Scarborough North,Shaun,Chen,,,Karishma Manji,Gurmit Sandhu,Shaun Chen,
206,Scarborough Southwest,Bill,Blair,,Michael Poulin,Fatima Shaban,Asm Tarun,Bill Blair,
202,Scarborough—Agincourt,Jean,Yip,,,George Wedge,Aris Movsessian,Jean Yip,
204,Scarborough—Guildwood—Rouge Park,,,,,Kingsley Kwok,Suchita Jalan,Gary Anandasangaree,
207,Scarborough—Woburn,,,,,Dan Lovell,Reddy Muttukuru,Michael Coteau,
241,Selkirk—Interlake—Eastman,James,Bezan,,Byron Gryba,Josef Estabrooks,James Bezan,Rhonda Nichol,
103,Shefford,Andréanne,Larouche,Andréanne Larouche,Susanne Lefebvre,,James Seale,Félix Dionne,
104,Sherbrooke,Élisabeth,Brière,Pierre-Étienne Rouillard,Alexandre Lépine,Jean-Pierre Fortier,Esteban Méndez-Hord,Élisabeth Brière,
295,Sherwood Park—Fort Saskatchewan,Garnett,Genuis,,,Chris Jones,Garnett Genuis,Tanya Holm,
209,Simcoe North,Adam,Chambers,,Stephen Makk,Melissa Lloyd,Adam Chambers,Ryan Rocca,
208,Simcoe—Grey,Terry,Dowdall,,Giorgio Mammoliti,Jasleen Bains,Terry Dowdall,Bren Munro,
327,Similkameen—South Okanagan—West Kootenay,,,,Barry Dewar,Linda Sankey,Helena Konanz,Gloria Morgan,
328,Skeena—Bulkley Valley,Taylor,Bachrach,,,Taylor Bachrach,Ellis Ross,Inderpal Dhillon,
258,Souris—Moose Mountain,Robert,Kitchen,,,Sheena Muirhead Koops,Steven Bonk,Aziz Mian,
21,South Shore—St. Margarets,Rick,Perkins,,Patrick Boyd,,Rick Perkins,Jessica Fancy-Landry,
329,South Surrey—White Rock,Kerry-Lynne,Findlay,,,Jureun Park,Kerry-Lynne Findlay,Ernie Klassen,
210,Spadina—Harbourfront,,,,Gilbert Jubinville,Norm Di Pasquale,Diana Filipova,Chi Nguyen,
296,St. Albert—Sturgeon River,,,,Brigitte Cecelia,Dot Anderson,Michael Cooper,Lucia Stachurski,
240,St. Boniface—St. Vital,,,,Gilles Pelletier,Thomas Linner,Shola Agboola,Ginette Lavack,
211,St. Catharines,Chris,Bittle,,,Karen Orlandi,Bas Sluijmers,Chris Bittle,
6,St. John's East,Joanne,Thompson,,,Mary Shortall,David Brazil,Joanne Thompson,
212,Stormont—Dundas—Glengarry,Eric,Duncan,,,Mario Leclerc,Eric Duncan,Sarah Good,
213,Sudbury,Viviane,Lapointe,,Nicholas Bonderoff,Nadia Verrelli,Ian Symington,Viviane Lapointe,
214,Sudbury East—Manitoulin—Nickel Belt,,,,,Andréane Chénier,Jim Belanger,Marc Serré,
330,Surrey Centre,Randeep,Sarai,,,Dominic Denofrio,Rajvir Dhillon,Randeep Sarai,
331,Surrey Newton,Sukh,Dhaliwal,,,Raj Singh Toor,Harjit Singh Gill,Sukh Dhaliwal,
259,Swift Current—Grasslands—Kindersley,,,,,Alex McPhee,Jeremy Patzer,William Caton,
22,Sydney—Glace Bay,,,,Jeffrey Evely,Kimberly Losier,Anna Manley,Mike Kelloway,
215,Taiaiako'n—Parkdale—High Park,,,,,Bhutila Karpoche,Wladyslaw Lizon,Karim Bardeesy,
7,Terra Nova—The Peninsulas,Churence,Rogers,,,Liam Ryan,Jonathan Rowe,Anthony Germain,
105,Terrebonne,Nathalie,Sinclair-Desgagné,Nathalie Sinclair Desgagné,Maria Cantore,Maxime Beaudoin,Adrienne Charles,Tatiana Auguste,
106,Thérèse-De Blainville,Louise,Chabot,Marie-Noëlle Closson-Duquette,Chantal Lavoie,Michel Lacroix,Julie Bergeron,Madeleine Chenette,
216,Thornhill,Melissa,Lantsman,,Amir Hart,,Melissa Lantsman,Liane Kotler,
217,Thunder Bay—Rainy River,Marcus,Powlowski,,Sabrina Ree,Yuk-Sem Won,Brendan Hyatt,Marcus Powlowski,
218,Thunder Bay—Superior North,Patty,Hajdu,,Amos Bradley,Joy Wakefield,Bob Herman,Patty Hajdu,
32,Tobique—Mactaquac,Richard,Bragdon,,Vern Brundle,Michael Winter,Richard Bragdon,Julian Moulton,
219,Toronto Centre,Marci,Ien,,Nathen Mazri,Samantha Green,Luis Ibarra,Evan Solomon,
220,Toronto—Danforth,Julie,Dabrusin,,,Clare Hacksel,Ashik Hussain,Julie Dabrusin,
221,Toronto—St. Paul's,Don,Stewart,,Joseph Frasca,Bruce Levy,Don Stewart,Leslie Church,
107,Trois-Rivières,René,Villemure,René Villemure,Yan Patry,Matthew Sévigny,Yves Levesque,Caroline Desrochers,
222,University—Rosedale,Chrystia,Freeland,,,Serena Purdy,Liz Grade,Chrystia Freeland,
332,Vancouver Centre,Hedy,Fry,,,Avi Lewis,Elaine Allan,Hedy Fry,
333,Vancouver East,Jenny,Kwan,,Meghan Murphy,Jenny Kwan,Lita Cabal,Mark Wiens,
334,Vancouver Fraserview—South Burnaby,,,,Desiderio Magtanggol Reyes,Manoj Bhangu,Avi Nayyar,Gregor Robertson,
335,Vancouver Granville,Taleeb,Noormohamed,,,Sukhi Singh Sahota,Marie Rogers,Taleeb Noormohamed,
336,Vancouver Kingsway,Don,Davies,,,Don Davies,Ravinder Bhatia,Amy Gill,
337,Vancouver Quadra,Joyce,Murray,,John Ede,Alim Fakirani,Ken Charko,Wade Grant,Tom Digby
108,Vaudreuil,Peter,Schiefke,,Jean Boily,Kalden Rangdrol Dhatsenpa,Thomas Barré,Peter Schiefke,
223,Vaughan—Woodbridge,Francesco,Sorbara,,,Ali Bahman,Michael Guglielmin,Francesco Sorbara,
338,Vernon—Lake Country—Monashee,,,,,Leah Main,Scott Anderson,Anna Warwick Sears,
339,Victoria,Laurel,Collins,,David Mohr,Laurel Collins,Angus Ross,Will Greaves,
109,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Marc,Miller,,,,Steve Shanahan,Marc Miller,
110,Vimy,Annie,Koutrakis,,,,Grace Daou,Annie Koutrakis,
224,Waterloo,Bardish,Chagger,,Douglas Ross,Héline Chow,Waseem Botros,Bardish Chagger,
225,Wellington—Halton Hills North,Michael,Chong,,Syl Carle,Andrew Bascombe,Michael Chong,Sean Carscadden,
340,West Vancouver—Sunshine Coast—Sea to Sky Country,Patrick,Weiler,,Peyman Askari,Jäger Rosenberg,Keith Roy,Patrick Weiler,Lauren Greenlaw
226,Whitby,Ryan,Turnbull,,,Kevin Goswell,Steve Yamada,Ryan Turnbull,
227,Willowdale,Ali,Ehsassi,,,Christy Kheirallah,James Lin,Ali Ehsassi,
229,Windsor West,Brian,Masse,,Jacob Bezaire,Brian Masse,Harb Gill,Richard Pollock,
228,Windsor—Tecumseh—Lakeshore,,,,Nick Babic,Alex Ilijoski,Kathy Borrelli,Irek Kusmierczyk,
242,Winnipeg Centre,Leah,Gazan,,Donald Grant,Leah Gazan,Thomas Bambrick,Rahul Walia,
243,Winnipeg North,Kevin,Lamoureux,,Jessica Bailon,Adebayo Akinrogunde,Rachel Punzalan,Kevin Lamoureux,
244,Winnipeg South,Terry,Duguid,,Johann Rempel Fehr,Joanne Bjornson,Janice Morley-Lecomte,Terry Duguid,
245,Winnipeg South Centre,Ben,Carr,,Jaclyn Cummings,Jorge Requena Ramos,Royden Brousseau,Ben Carr,
246,Winnipeg West,Marty,Morantz,,,Avery Selby-Lyons,Marty Morantz,Doug Eyolfson,
297,Yellowhead,Gerald,Soroka,,Vicky Bayford,Avni Soma,William Stevenson,Michael Fark,
230,York Centre,Ya'ara,Saks,,,Yusuf Sinan Ulukanligil,Roman Baber,Ya’ara Saks,
232,York South—Weston—Etobicoke,,,,,Louise James,Nicolas Pham,Ahmed Hussen,
231,York—Durham,,,,Patricia Conlin,Justin Graham,Jacob Mantle,Rob Grossi,
260,Yorkton—Melville,Cathay,Wagantall,,,Michaela Krakowetz,Cathay Wagantall,Luke Guimond,Valerie Brooks
341,Yukon,Brendan,Hanley,,,Katherine McCallum,Ryan Leef,Brendan Hanley,Gabrielle Dupont
